Лаврентий Ярославович Носов;Нерчинск;алл. Машиностроителей, д. 655;Мазда Мотор Рус (Mazda);Фермер;+7 (187) 683-6095;elena38@mail.ru;1969-12-21;35163
Жуков Денис Федотович;Усть-Илимск;ш. Чапаева, д. 51 стр. 47;Бристоль;Водитель;+74583400027;maksimiljan78@hotmail.com;1973-03-07;190397
София Эльдаровна Фомина;Кинешма;бул. З.Космодемьянской, д. 560;Компания Адамас;Штукатур;8 (706) 349-28-17;aleksandrovviktor@mail.ru;1961-12-07;24333
Мельникова Евдокия Эдуардовна;Канск;наб. Курортная, д. 9;Авеста Фармацевтика (Baby Dream);Психолог;8 414 084 40 24;efimovanatalja@yahoo.com;1956-01-10;179123
Субботин Велимир Давыдович;Челюскин;ул. Учительская, д. 3/6;Группа Газфонд;Маркетолог;+7 190 601 6578;safonovrostislav@yahoo.com;1970-03-31;33448
Рожков Эрнест Ефремович;Кунгур;ул. Сиреневая, д. 7 к. 432;НОВАТЭК;Дипломат;+71178223587;akulina_1985@yahoo.com;1983-12-05;51422
Максимова Елизавета Олеговна;Глазов;бул. Степана Разина, д. 825 к. 636;РусВинил;Композитор;+7 (534) 542-07-94;bronislavzhdanov@hotmail.com;1983-11-20;127588
Семен Вилорович Родионов;Элиста;пер. Киевский, д. 8 стр. 2/2;Сони Электроникс (Sony);Биоинженер;+7 (390) 921-27-83;pankrat_84@gmail.com;1987-02-07;136592
Мартьян Данилович Фролов;Липецк;ул. Брянская, д. 955 к. 721;Прогресс;Радиотелефонист;+7 (802) 100-0473;kornilovaaleksandra@yandex.ru;1981-05-24;20346
Евсеев Руслан Викторович;Омск;ш. Стадионное, д. 418 к. 3;ФортеИнвест;Аллерголог;+7 170 253 8731;egorovefim@gmail.com;2001-07-28;89809
Ефрем Игоревич Блохин;Саянск;бул. Васильковый, д. 9/1 к. 980;Почта России;Упаковщик;+7 (227) 692-6229;tamara_2013@yandex.ru;1972-01-11;97091
Елисей Авдеевич Ермаков;Сургут (Хант.);пр. Свободный, д. 95 стр. 30;СДС Азот;Веб-программист;+72849297887;nifont13@mail.ru;1998-02-24;62279
Агата Станиславовна Наумова;Соль-Илецк;ш. Мусы Джалиля, д. 2/6 стр. 9/8;Металлсервис;Инфекционист;+79871985307;gerasim16@mail.ru;1963-05-12;45368
Максимильян Афанасьевич Данилов;Ирбит;бул. Мирный, д. 5/9;Командор-Холдинг;Фотограф;8 416 143 0747;filipp_2014@gmail.com;1952-05-01;152581
Мирон Владиславович Потапов;Северо-Курильск;пер. Азина, д. 82 к. 6/4;Фирма Агрокомплекс им. Ткачева;Мастер педикюра;+7 (379) 901-22-84;zuevkasjan@gmail.com;1964-09-22;40493
тов. Бобылев Ананий Адамович;Городовиковск;бул. Базарный, д. 3/8;Группа Полипластик;Борт-инженер;+7 (266) 587-74-81;strelkovluchezar@gmail.com;1968-10-03;75816
Дорофей Тихонович Бирюков;Прохладный;ш. Красных Партизан, д. 8;ТОАЗ;Инженер-взрывотехник;8 742 113 0875;ljubomir_2014@hotmail.com;1983-05-26;22883
Нина Тимуровна Чернова;Курск;пр. Вавилова, д. 8 к. 663;Совкомфлот;Мастер маникюра;+7 859 949 51 38;semenovratibor@hotmail.com;1964-07-04;149193
Евпраксия Евгеньевна Федорова;Жиганск;пр. Ясный, д. 59;Трубная грузовая компания;Мясник;+7 543 161 41 19;baranovjaroslav@gmail.com;1975-01-28;45600
